individual,eval_episodes,mean_episode_length,mean_obj_0,mean_obj_1,mean_obj_2,mean_sum_return,is_nondominated
0,6,500.0,500.3747081061204,288.35629985729855,434.08621946970624,1222.8172274331253,True
1,6,500.0,526.3653482397398,249.45827593406042,407.62674089272815,1183.4503650665283,True
2,6,500.0,501.8735234936078,289.9275953074296,113.87806319197018,905.6791819930077,True
3,6,472.5,575.2519841194153,106.18362217148145,457.13962985451025,1138.575236145407,True
4,6,500.0,525.0821733872095,265.521053781112,31.17793682217598,821.7811639904976,True
5,6,500.0,500.76980399092037,289.6865468124549,354.26005246241886,1144.716403265794,True
6,6,500.0,519.1914619207382,280.93473423520726,433.88057991862297,1234.0067760745685,True
7,6,500.0,480.2136156658332,275.67700176437694,496.3848139345646,1252.2754313647747,True
8,6,500.0,507.8983104129632,287.84815858801204,350.72893953323364,1146.4754085342088,True
9,6,500.0,522.6074807743231,275.8254864315192,376.09997150301933,1174.5329387088616,True
10,6,500.0,493.1441173354785,285.2403881450494,484.9533481101195,1263.3378535906475,True
11,6,385.1666666666667,382.5494270687923,223.8510583291451,342.1847892751296,948.585274673067,False
12,6,500.0,507.5539647638798,288.42516399423283,352.37960183620453,1148.3587305943172,True
13,6,500.0,519.7066684067249,276.7479681273301,176.0401441951593,972.4947807292143,False
14,6,500.0,512.9121174315611,272.8937718272209,450.24376008907956,1236.0496493478615,True
15,6,500.0,520.7079526881377,254.2994418144226,451.63494578997296,1226.6423402925332,True
16,6,500.0,511.5430090030034,285.1942581335704,-68.67244450251262,728.0648226340612,False
17,6,500.0,511.6656874815623,286.1666965385278,354.75855625669163,1152.5909402767818,True
18,6,498.3333333333333,520.5312072659532,277.2893613378207,322.36232661207515,1120.182895215849,True
19,6,500.0,499.0013376176357,289.3181190590064,386.48850918809575,1174.807965864738,True
20,6,500.0,525.9875201682249,245.0163470606009,346.57389377554256,1117.5777610043683,False
21,6,369.6666666666667,381.53789328535396,184.84496863683066,358.9950186299781,925.3778805521627,False
22,6,500.0,517.8738248944283,277.5421520670255,399.03013094266254,1194.4461079041162,False
23,6,500.0,511.58600630362827,281.06746103366214,370.1280963420868,1162.781563679377,True
24,6,487.5,514.5432467038432,260.5353008707364,357.52220185597736,1132.600749430557,False
25,6,500.0,521.9535223344961,260.86060070991516,343.8002652525902,1126.6143882970014,False
26,6,500.0,521.060799330473,270.81702776749927,235.5442818403244,1027.4221089382966,False
27,6,500.0,491.4311101734638,283.671246578296,460.91631177067757,1236.0186685224373,False
28,6,500.0,494.7074912091096,288.4877858857314,387.6220486859481,1170.8173257807891,True
29,6,500.0,495.6388123234113,288.0005391736825,418.89548975229263,1202.5348412493863,False
30,6,404.8333333333333,526.3979472319285,16.23116386930148,384.52729473263025,927.1564058338602,False
31,6,468.6666666666667,495.6625576472531,234.4828406572342,259.0260059585174,989.1714042630047,False
32,6,500.0,491.78430554270744,283.7625209887822,459.52840356032056,1235.0752300918102,False
33,6,500.0,496.20218483606976,288.9398578008016,349.31562317411107,1134.4576658109825,False
34,6,500.0,493.59119369586307,287.26901212334633,384.0765395561854,1164.9367453753948,False
35,6,484.5,462.0085392122467,268.01272734999657,438.5951535087079,1168.616420070951,False
